,Wi-1,Wi-2,Wi-3,H11-1,H11-2,H11-3,hgnc_symbol
ENSG00000227232,6.802649856,6.721274326,6.755452946,7.11421154,6.692530672,6.806773141,NA
ENSG00000278267,5.189162296,5.445850141,5.891468628,5.584068768,5.189162296,5.432258496,MIR6859-1
ENSG00000238009,5.408278755,5.189162296,5.439609499,5.511936063,5.189162296,5.532547962,NA
ENSG00000233750,5.408278755,5.551698105,5.688194314,5.905045407,6.073126343,5.781166397,CICP27
ENSG00000268903,6.739983507,7.454383784,7.295347697,7.184056017,7.415115246,6.999773448,NA
ENSG00000269981,6.496041524,6.756684702,7.493544476,6.852297191,6.89809883,6.680312667,NA
ENSG00000241860,5.626144188,5.63259774,5.798853599,5.868990502,5.650840947,5.911737781,NA
ENSG00000279457,7.083965685,7.340041878,7.316574101,7.356400288,7.472268556,7.121030232,NA
ENSG00000228463,5.408278755,5.63259774,5.746412163,5.584068768,5.420739173,5.432258496,RPL23AP21
ENSG00000236679,5.189162296,5.551698105,5.621870739,5.189162296,5.420739173,5.189162296,RPL23AP24
ENSG00000237094,6.765460408,6.362147166,7.284602652,6.800298372,6.459160563,6.575126465,NA
ENSG00000250575,5.189162296,5.63259774,5.688194314,5.584068768,5.650840947,5.432258496,NA
ENSG00000225972,5.498743378,5.551698105,5.439609499,5.417635302,5.420739173,5.781166397,MTND1P23
ENSG00000225630,7.383914044,7.273180037,8.376741904,7.993164595,7.803394371,7.653462453,MTND2P28
ENSG00000237973,8.295076705,7.913748669,8.959867994,9.276223447,8.617265718,8.646982822,MTCO1P12
ENSG00000229344,5.804830675,6.165862776,6.142896563,6.142087005,6.297419616,6.200893191,MTCO2P12
ENSG00000240409,5.626144188,5.551698105,5.933175411,5.789926876,5.650840947,5.730209027,MTATP8P1
ENSG00000248527,11.5919734,11.50830499,13.3319432,12.56948506,12.41075566,12.39993343,MTATP6P1
ENSG00000198744,5.626144188,5.63259774,6.20214248,6.032849889,5.753413462,5.827866732,MTCO3P12
ENSG00000228327,7.00412994,6.646938368,7.316574101,7.072487027,6.662107077,6.821647796,NA
ENSG00000237491,5.723345127,5.445850141,6.535910599,6.116137144,5.878074987,5.827866732,NA
ENSG00000230092,5.567959004,5.445850141,5.439609499,5.417635302,5.189162296,5.532547962,NA
ENSG00000228794,7.614922526,7.503252742,7.73688797,7.894303881,7.69276494,7.879716339,LINC01128
ENSG00000225880,5.841570422,5.908663472,6.17303262,5.830756807,6.044013369,5.730209027,NA
ENSG00000272438,5.567959004,5.908663472,5.688194314,5.644691308,5.516311776,5.432258496,NA
ENSG00000230699,5.87622439,5.76015704,5.933175411,6.089336173,5.650840947,5.67365026,NA
ENSG00000223764,6.19726283,6.226424016,6.045212758,6.142087005,5.797987339,5.432258496,LINC02593
ENSG00000187634,6.496041524,6.362147166,5.746412163,6.089336173,6.154599711,5.532547962,SAMD11
ENSG00000188976,11.94504274,11.61762511,11.79274235,12.03698564,12.13669068,12.44522764,NOC2L
ENSG00000187961,8.478833901,8.595486965,9.454376255,9.598850376,9.037372018,8.676811365,KLHL17
ENSG00000187583,6.219012879,6.336528478,6.595050403,6.564762393,6.421147419,6.115774726,PLEKHN1
ENSG00000187642,5.408278755,6.029684969,5.891468628,5.789926876,6.013751239,5.911737781,PERM1
ENSG00000272512,5.498743378,5.445850141,5.439609499,5.745928069,5.589411128,5.189162296,NA
ENSG00000188290,7.714045595,8.074227845,6.981414466,7.631449144,7.283558533,6.745290844,HES4
ENSG00000187608,8.77612894,9.103154636,8.510610546,8.626062789,8.875149535,8.624192608,ISG15
ENSG00000188157,12.92156884,12.24598603,12.70360925,13.70311772,12.88184793,13.13024312,AGRN
ENSG00000217801,6.219012879,6.56723399,6.515442303,6.581049045,6.495806598,6.253319146,NA
ENSG00000273443,5.498743378,5.189162296,5.621870739,5.644691308,5.189162296,5.189162296,NA
ENSG00000131591,8.318436602,8.638407567,8.239515258,8.675832324,8.627700262,8.414060425,C1orf159
ENSG00000272141,5.498743378,5.700534186,5.798853599,6.167254365,5.982207197,5.532547962,NA
ENSG00000205231,5.841570422,5.700534186,5.189162296,5.584068768,5.704791221,5.730209027,TTLL10-AS1
ENSG00000162571,5.804830675,5.951347169,5.542906217,5.697936966,5.753413462,5.609230113,TTLL10
ENSG00000186891,6.240240813,6.607815711,5.972483347,6.142087005,6.401586645,6.053701401,TNFRSF18
ENSG00000186827,5.626144188,5.551698105,5.189162296,5.697936966,5.189162296,5.432258496,TNFRSF4
ENSG00000078808,11.21688999,11.32831926,11.05750691,11.4752453,11.38599948,11.45928584,SDF4
ENSG00000176022,10.08831065,10.28050443,9.140577998,10.15712254,10.32149451,10.20040794,B3GALT6
ENSG00000184163,6.8386879,6.992797736,6.80424268,6.673958301,6.793003353,6.394792204,C1QTNF12
ENSG00000260179,5.498743378,5.863047618,6.045212758,5.697936966,5.797987339,5.189162296,NA
ENSG00000160087,10.61077663,10.73843913,10.24265068,10.57234702,10.91083627,11.01616438,UBE2J2
ENSG00000230415,6.079285315,5.700534186,5.933175411,6.061604682,5.420739173,5.189162296,NA
ENSG00000162572,6.739983507,7.048666354,7.465650524,7.389940005,6.662107077,6.394792204,SCNN1D
ENSG00000131584,9.245664959,9.310170071,9.578410632,9.945099871,9.369838822,9.561197341,ACAP3
ENSG00000169972,9.454877677,9.989490214,9.163034876,9.610768606,10.1149746,9.898052823,PUSL1
ENSG00000127054,11.42855908,11.44138755,11.24612233,11.43901188,11.41864203,11.47516091,INTS11
ENSG00000240731,6.079285315,6.310202819,6.651125743,6.424489869,6.204813808,6.227492327,NA
ENSG00000224051,8.650599814,8.889639594,8.528118266,8.767372824,8.987115662,9.053852167,CPTP
ENSG00000169962,5.626144188,5.863047618,5.846904353,5.868990502,5.704791221,5.532547962,TAS1R3
ENSG00000107404,11.0841912,11.1471454,10.82299334,11.35260601,11.23288648,11.44054133,DVL1
ENSG00000162576,8.279284749,8.77533329,8.173932579,8.809541149,8.344766017,7.778310522,MXRA8
ENSG00000175756,11.32613076,11.91018843,11.07751816,11.43184624,11.8803876,11.71552581,AURKAIP1
ENSG00000221978,10.46338536,10.21589256,11.13523066,11.15092555,10.26844455,10.48404401,CCNL2
ENSG00000224870,8.9371183,9.341509856,8.972653084,9.056866925,9.042560755,9.109396298,MRPL20-AS1
ENSG00000242485,10.71582334,11.06294708,10.34775608,10.64026241,10.9073011,10.75427461,MRPL20
ENSG00000272455,6.558573183,7.128018988,7.556442935,7.295547632,6.820170782,6.83633584,NA
ENSG00000235098,6.962181591,7.340041878,6.429269099,6.688711341,6.459160563,6.227492327,ANKRD65
ENSG00000225905,5.626144188,5.445850141,5.189162296,5.511936063,5.589411128,5.532547962,NA
ENSG00000205116,6.463310006,6.336528478,6.111632181,7.029315605,6.582166034,6.791706221,TMEM88B
ENSG00000225285,6.42949455,6.684722883,6.614063416,6.759716756,6.76518482,6.6289797,NA
ENSG00000179403,10.62471937,10.81279674,9.852752785,11.01302853,11.08553377,11.31678876,VWA1
ENSG00000215915,6.240240813,6.807835668,6.82006067,6.688711341,6.582166034,6.349931106,ATAD3C
ENSG00000160072,10.42936151,9.994418273,10.51150175,10.56537607,10.60258174,11.13685874,ATAD3B
ENSG00000197785,10.93181443,11.04249335,10.59410976,10.99369059,11.28611411,11.40175157,ATAD3A
ENSG00000205090,7.203727979,7.190523449,6.771946202,7.124429132,7.105622861,6.77644109,TMEM240
ENSG00000160075,12.02048113,12.38709456,11.61198921,11.94099533,12.32805742,12.13605347,SSU72
ENSG00000215014,5.999129687,6.283117776,6.17303262,6.142087005,6.128332198,6.145113372,NA
ENSG00000228594,10.36896615,11.00557956,10.05039299,10.45843331,10.84805205,10.30839917,FNDC10
ENSG00000272106,7.194907003,7.779804573,7.804303148,7.787787445,7.503853361,7.490065531,NA
ENSG00000197530,9.747870286,9.896015965,9.767603733,9.946442993,9.522171643,9.750836686,MIB2
ENSG00000189409,6.573645974,6.587715503,7.073943415,7.051089241,6.910604311,6.458485851,MMP23B
ENSG00000248333,10.47540568,10.75013141,10.48621054,10.70432785,10.83322399,10.73944882,CDK11B
ENSG00000272004,5.408278755,5.445850141,5.189162296,5.511936063,5.516311776,5.189162296,NA
ENSG00000189339,10.7933037,10.22150571,10.62768231,10.79575609,10.30868222,10.80038158,SLC35E2B
ENSG00000269737,5.408278755,5.63259774,6.359424645,6.032849889,5.753413462,5.532547962,NA
ENSG00000215914,5.189162296,5.189162296,5.542906217,5.905045407,5.650840947,5.532547962,MMP23A
ENSG00000008128,7.811993343,8.105446281,8.549702586,8.426973136,8.225536398,8.422917298,CDK11A
ENSG00000268575,6.128506336,6.587715503,7.160068261,6.938140348,6.885461186,6.77644109,NA
ENSG00000227775,6.588510058,6.435203297,7.160068261,7.061834198,6.319181188,6.498830838,NA
ENSG00000215790,6.765460408,6.978424095,7.251820471,7.259447882,7.197693966,7.333392278,NA
ENSG00000008130,10.66050194,10.42978229,10.70691669,10.82960014,10.68170288,10.91113964,NADK
ENSG00000078369,13.5307246,13.36165734,13.17298276,13.50913083,13.63188736,13.69020562,GNB1
ENSG00000231050,5.408278755,6.029684969,5.542906217,5.584068768,5.839347655,5.730209027,GNB1-DT
ENSG00000169885,5.567959004,5.76015704,6.651125743,5.905045407,5.753413462,5.609230113,CALML6
